operator,rarity,class,promotion_level,level,hp,attack,defense,resistance,redeployment_time,dp_cost,block_count,attack_interval,cn_release_date,global_release_date,is_limited
Goldenglow,6.0,Caster,0,24,727,183,62,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,25,732,184,63,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,26,738,185,63,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,27,743,186,64,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,28,748,188,64,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,29,754,189,65,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,30,759,190,65,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,31,764,192,66,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,32,769,193,66,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,33,775,194,67,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,34,780,195,68,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,35,785,197,68,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,36,791,198,69,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,37,796,199,69,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,38,801,201,70,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,39,807,202,70,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,40,812,203,71,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,41,817,204,71,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,42,823,206,72,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,43,828,207,72,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,44,833,208,73,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,45,838,210,73,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,46,844,211,74,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,47,849,212,74,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,48,854,213,75,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,49,860,215,75,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,50,865,216,76,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,1,865,216,76,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,2,868,217,76,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,3,872,218,77,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,4,875,218,77,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,5,878,219,77,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,6,881,220,78,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,7,885,221,78,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,8,888,221,79,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,9,891,222,79,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,10,895,223,79,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,11,898,224,80,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,12,901,225,80,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,13,904,225,80,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,14,908,226,81,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,15,911,227,81,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,16,914,228,82,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,17,917,229,82,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,18,921,229,82,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,19,924,230,83,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,20,927,231,83,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,21,931,232,83,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,22,934,232,84,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,23,937,233,84,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,24,940,234,84,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,25,944,235,85,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,26,947,236,85,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,27,950,236,86,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,28,954,237,86,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,29,957,238,86,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,30,960,239,87,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,31,963,240,87,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,32,967,240,87,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,33,970,241,88,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,34,973,242,88,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,35,976,243,88,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,36,980,243,89,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,37,983,244,89,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,38,986,245,90,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,39,990,246,90,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,40,993,247,90,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,41,996,247,91,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,42,999,248,91,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,43,1003,249,91,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,44,1006,250,92,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,45,1009,251,92,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,46,1013,251,93,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,47,1016,252,93,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,48,1019,253,93,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,49,1022,254,94,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,50,1026,254,94,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,51,1029,255,94,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,52,1032,256,95,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,53,1035,257,95,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,54,1039,258,95,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,55,1042,258,96,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,56,1045,259,96,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,57,1049,260,97,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,58,1052,261,97,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,59,1055,262,97,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,60,1058,262,98,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,61,1062,263,98,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,62,1065,264,98,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,63,1068,265,99,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,64,1072,265,99,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,65,1075,266,99,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,66,1078,267,100,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,67,1081,268,100,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,68,1085,269,101,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,69,1088,269,101,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,70,1091,270,101,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,71,1094,271,102,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,72,1098,272,102,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,73,1101,273,102,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,74,1104,273,103,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,75,1108,274,103,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,76,1111,275,104,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,77,1114,276,104,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,78,1117,276,104,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,79,1121,277,105,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,1,80,1124,278,105,15,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,1,1124,278,105,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,2,1128,279,105,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,3,1132,279,105,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,4,1136,280,106,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,5,1140,280,106,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,6,1144,281,106,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,7,1148,282,106,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,8,1152,282,107,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,9,1156,283,107,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,10,1160,283,107,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,11,1164,284,107,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,12,1168,285,107,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,13,1172,285,108,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,14,1176,286,108,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,15,1180,286,108,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,16,1184,287,108,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,17,1188,288,109,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,18,1192,288,109,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,19,1196,289,109,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,20,1200,289,109,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,21,1204,290,109,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,22,1208,291,110,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,23,1212,291,110,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,24,1216,292,110,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,25,1220,292,110,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,26,1224,293,111,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,27,1228,293,111,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,28,1232,294,111,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,29,1236,295,111,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,30,1240,295,112,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,31,1244,296,112,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,32,1248,296,112,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,33,1252,297,112,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,34,1256,298,112,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,35,1260,298,113,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,36,1264,299,113,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,37,1268,299,113,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,38,1272,300,113,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,39,1276,301,114,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,40,1280,301,114,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,41,1284,302,114,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,42,1288,302,114,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,43,1292,303,114,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,44,1296,304,115,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,45,1300,304,115,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,46,1304,305,115,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,47,1308,305,115,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,48,1312,306,116,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,49,1316,307,116,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,50,1320,307,116,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,51,1324,308,116,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,52,1328,308,116,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,53,1332,309,117,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,54,1336,310,117,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,55,1340,310,117,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,56,1344,311,117,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,57,1348,311,118,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,58,1352,312,118,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,59,1356,313,118,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,60,1360,313,118,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,61,1364,314,118,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,62,1368,314,119,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,63,1372,315,119,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,64,1376,316,119,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,65,1380,316,119,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,66,1384,317,120,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,67,1388,317,120,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,68,1392,318,120,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,69,1396,318,120,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,70,1400,319,121,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,71,1404,320,121,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,72,1408,320,121,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,73,1412,321,121,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,74,1416,321,121,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,75,1420,322,122,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,76,1424,323,122,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,77,1428,323,122,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,78,1432,324,122,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,79,1436,324,123,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,80,1440,325,123,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,81,1444,326,123,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,82,1448,326,123,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,83,1452,327,123,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,84,1456,327,124,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,85,1460,328,124,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,86,1464,329,124,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,87,1468,329,124,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,88,1472,330,125,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,89,1476,330,125,20,70,22,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,2,90,1480,331,125,20,70,22,1,1.3,2/15/2022,N/A,0.0
Lee,6.0,Specialist,0,1,1179,376,240,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,2,1187,379,241,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,3,1194,382,243,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,4,1202,385,244,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,5,1209,387,246,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,6,1217,390,247,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,7,1225,393,248,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,8,1232,396,250,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,9,1240,399,251,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,10,1248,402,252,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,11,1255,405,254,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,12,1263,407,255,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,13,1270,410,257,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,14,1278,413,258,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,15,1286,416,259,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,16,1293,419,261,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,17,1301,422,262,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,18,1308,425,264,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,19,1316,427,265,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,20,1324,430,266,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,21,1331,433,268,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,22,1339,436,269,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,23,1346,439,271,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,24,1354,442,272,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,25,1362,445,273,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,26,1369,447,275,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,27,1377,450,276,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,28,1385,453,277,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,29,1392,456,279,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,30,1400,459,280,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,31,1407,462,282,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,32,1415,465,283,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,33,1423,467,284,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,34,1430,470,286,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,35,1438,473,287,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,36,1445,476,289,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,37,1453,479,290,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,38,1461,482,291,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,39,1468,485,293,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,40,1476,487,294,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,41,1483,490,296,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,42,1491,493,297,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,43,1499,496,298,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,44,1506,499,300,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,45,1514,502,301,0,25,7,1,1,1/25/2022,N/A,0.0
Lee,6.0,Specialist,0,46,1522,505,302,0,25,7,1,1,1/25/2022,N/A,0.0
