Date,Sales Amount
2018-01-14,341936
2017-05-01,113842
2018-11-13,486756
2019-01-21,418841
2019-04-15,106436
2019-07-09,309858
2019-08-29,6458
2019-09-17,254781
2020-08-26,104868
2017-05-07,300957
2017-08-26,156882
2019-08-05,71282
2017-03-05,318852
2016-05-14,493525
2018-09-14,245336
2016-07-19,414631
2020-06-10,457614
2018-05-16,440182
2019-07-13,347965
2018-05-29,401648
2020-12-24,483540
2016-09-02,32631
2020-11-23,30840
2016-01-15,427969
2018-06-23,247087
2019-01-16,489944
2017-01-25,81463
2018-08-21,247074
2016-04-19,256868
2020-07-15,15826
2020-07-11,313443
2018-08-21,62993
2018-01-20,99989
2020-04-22,385149
2016-03-26,392092
2019-06-18,196769
2017-03-29,233038
2016-01-02,235832
2020-04-13,82125
2019-02-24,384761
2018-01-08,492282
2018-02-11,32518
2017-07-06,347803
2019-01-02,69228
2018-05-18,433776
2019-06-16,194534
2019-09-29,184168
2019-08-04,478828
2018-09-22,167170
2016-01-15,79942
2016-07-22,321210
2018-10-25,218359
2018-06-18,311497
2020-09-01,135056
2016-08-01,415189
2019-08-15,373380
2016-11-02,133455
2019-07-19,200079
2020-03-12,336008
2020-01-09,323832
2020-01-20,358555
2020-02-15,27680
2020-09-08,123239
2016-05-23,458910
2016-02-13,102003
2016-05-20,385452
2018-04-30,168159
2017-03-12,354224
2019-02-27,123915
2019-04-14,151268
2019-10-16,234256
2019-02-25,6949
2019-11-01,389906
2016-04-21,351265
2016-01-23,175848
2018-02-27,362631
2019-09-27,76707
2017-01-25,80548
2017-07-12,95960
2017-05-21,70067
2019-02-28,404152
2018-09-12,429538
2020-12-30,132373
2016-12-28,308894
2020-09-04,24875
2017-09-19,398867
2017-11-16,306481
2019-03-24,407738
2016-12-15,190128
2017-06-07,476182
2019-05-14,210739
2017-03-23,152689
2017-12-16,46569
2019-03-26,466506
2017-06-18,310646
2019-03-17,109383
2016-11-21,262263
2020-04-11,377149
2016-12-25,463917
2020-08-27,407305
2019-03-23,388777
2018-07-27,80544
2020-05-10,73194
2017-11-24,286761
2019-02-02,100379
2020-01-11,124284
2017-05-19,38074
2019-09-24,1581
2020-05-02,294967
2019-01-27,10109
2019-12-24,160161
2019-04-25,267463
2016-08-11,284652
2018-05-10,416904
2019-11-11,2621
2020-10-29,60754
2020-07-31,456359
2020-07-24,485693
2019-01-05,62893
2018-10-31,303989
2018-11-09,492237
2016-09-16,371284
2019-12-02,293883
2018-06-22,48594
2016-08-04,214072
2018-08-13,127552
2020-05-06,433779
2017-05-31,212641
2017-08-19,57014
2018-10-14,119949
2016-08-01,284643
2020-03-29,89085
2016-03-24,357466
2020-07-29,381693
2020-05-28,295538
2017-10-17,191112
2019-05-23,423072
2017-11-27,464997
2017-06-12,38689
2019-02-23,379935
2020-06-08,313974
2017-04-26,170395
2016-05-01,236591
2018-08-10,182587
2018-02-05,189696
2019-09-03,287008
2016-04-07,56602
2019-04-03,432357
2016-01-09,117401
2019-09-02,144818
2017-12-28,482979
2019-10-31,1597
2019-11-04,1166
2019-10-30,401957
2016-08-02,458329
2018-04-29,137396
2020-01-15,397703
2020-06-25,190231
2020-11-18,356195
2018-09-25,495954
2016-02-27,47035
2019-03-13,63461
2019-07-02,307882
2016-09-11,152902
2017-01-13,376709
2017-06-07,316845
2018-09-27,223226
2020-10-07,355814
2017-01-11,229429
2018-10-25,446886
2019-09-16,72574
2019-12-21,240456
2020-12-10,477856
2017-09-20,341622
2016-07-09,257325
2019-06-01,476986
2018-10-02,152189
2019-11-01,353947
2017-12-15,413335
2016-05-13,335235
2018-01-31,174181
2019-04-15,175087
2019-02-23,247283
2019-01-07,410066
2016-07-15,175518
2016-12-02,269963
2020-07-25,35948
2020-05-07,114239
2017-10-31,15451
2020-07-10,196916
2019-09-06,204728
2016-01-26,296087
2020-10-03,289518
2019-12-29,371391
2017-06-18,303605
2019-09-07,199220
2017-11-20,239007
2020-11-17,480514
2017-05-23,24468
2020-12-05,317911
2016-07-05,266375
2017-05-19,402668
2017-08-06,340474
2019-10-06,60142
2019-09-07,400333
2020-04-02,204559
2017-07-21,284985
2020-09-22,29559
2020-08-12,428621
2017-05-06,319398
2017-12-09,405699
2019-11-16,145051
2020-02-09,388983
2018-01-18,494027
2020-10-22,169367
2017-08-31,427823
2018-11-10,380918
2016-08-31,11769
2019-06-05,57718
2019-12-22,210930
2020-08-06,450667
2017-08-31,479419
2019-01-22,222158
2018-06-22,127472
2018-05-06,405512
2017-08-20,56273
2018-08-21,82870
2018-02-28,206288
2019-10-22,286531
2020-08-19,79761
2016-07-17,16140
2016-07-24,475174
2020-08-27,32319
2017-11-15,373355
2019-01-24,273479
2019-12-12,358649
2020-05-28,13608
2018-09-27,356438
2019-12-22,1425
2017-11-01,402969
2017-01-13,329092
2019-01-05,104832
2020-03-22,190173
2019-02-25,457535
2016-09-05,315480
2020-09-08,323178
2017-10-20,201005
2019-05-13,483290
2020-01-09,365294
2018-10-31,120451
2017-07-25,494177
2017-04-19,57765
2019-07-08,154533
2018-10-31,108750
2016-08-18,100725
2017-12-29,12267
2018-08-25,194388
2017-12-13,413171
2018-04-26,147259
2020-03-30,118499
2020-12-02,154253
2019-07-22,405778
2018-07-17,298599
2016-09-10,164245
2018-06-19,226757
2019-04-26,55511
2020-03-05,133563
2016-09-26,410274
2017-07-15,170072
2018-01-23,69256
2018-01-27,275653
2016-01-15,48363
2017-12-24,122862
2016-07-16,172885
2020-06-16,305870
2016-03-04,407655
2019-04-09,326722
2016-10-23,491356
2019-12-23,356646
2016-02-25,291568
2017-12-23,151005
2019-02-16,437765
2020-07-25,366968
2016-04-05,464072
2020-12-12,408052
2016-03-23,426537
2018-08-02,183997
2017-01-03,432022
2019-03-13,46954
2020-10-31,143329
2017-09-02,230460
2017-02-15,410023
2017-07-26,268476
2018-04-23,316349
2019-04-30,327038
2016-01-13,180232
2016-05-29,372854
2019-02-06,483057
2018-03-17,232405
2018-06-25,150424
2016-04-24,89907
2016-11-25,152810
